GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
route-service,com.greencommute.routes.service,RouteServiceImpl,6,28,1,1,1,9,1,3,0,3
route-service,com.greencommute.routes.entity,Route.RouteBuilder,44,19,0,0,0,1,7,2,7,2
route-service,com.greencommute.routes.entity,Route,20,50,0,0,0,10,5,10,5,10
route-service,com.greencommute.routes,RoutesServiceApplication,5,3,0,0,2,1,1,1,1,1
route-service,com.greencommute.routes.valueobject,Job,24,52,0,0,0,10,6,10,6,10
route-service,com.greencommute.routes.controller,RouteController,0,16,0,0,0,5,0,3,0,3
