GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
appliedjobs-service,com.greencommute.appliedjobs.controller,ApplyJobController,0,33,0,0,0,6,0,4,0,4
appliedjobs-service,com.greencommute.appliedjobs,AppliedjobsServiceApplication,5,3,0,0,2,1,1,1,1,1
appliedjobs-service,com.greencommute.appliedjobs.entity,ApplyJob,0,36,0,0,0,6,0,8,0,8
appliedjobs-service,com.greencommute.appliedjobs.exceptions,AppliedJobErrorResponse,46,0,0,0,7,0,10,0,10,0
appliedjobs-service,com.greencommute.appliedjobs.exceptions,JobNotFoundException,13,0,0,0,6,0,3,0,3,0
appliedjobs-service,com.greencommute.appliedjobs.exceptions,JobNotFoundExceptionHandler,41,3,0,0,10,1,2,1,2,1
appliedjobs-service,com.greencommute.appliedjobs.valueobjects,Job,24,52,0,0,0,10,6,10,6,10
appliedjobs-service,com.greencommute.appliedjobs.service,AppliedJobServiceImpl,12,60,3,3,2,14,3,4,0,4
